Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
NWN,NORTHWEST NATURAL GAS,Equity,0.25,61.25,"1,210,688.00","74,154,640.00","74,154,640.00",Utilities,2649586,US6676551046,New York Stock Exchange Inc.
PLXS,PLEXUS CORP,Equity,0.25,51.98,"1,424,695.00","74,055,646.10","74,055,646.10",Information Technology,2692160,US7291321005,NASDAQ
MMSI,MERIT MEDICAL SYSTEMS INC,Equity,0.25,35.5,"2,078,711.00","73,794,240.50","73,794,240.50",Health Care,2580555,US5898891040,NASDAQ
CBM,CAMBREX CORP,Equity,0.25,53.8,"1,367,862.00","73,590,975.60","73,590,975.60",Health Care,2165811,US1320111073,New York Stock Exchange Inc.
AMN,AMN HEALTHCARE INC,Equity,0.25,36.25,"2,025,144.00","73,411,470.00","73,411,470.00",Health Care,2813552,US0017441017,New York Stock Exchange Inc.
ARI,APOLLO COMMERCIAL REAL ESTATE FINA,Equity,0.25,18.46,"3,962,522.00","73,148,156.12","73,148,156.12",Financials,B4JTYX6,US03762U1051,New York Stock Exchange Inc.
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Equity,0.25,62.1,"1,176,197.00","73,041,833.70","73,041,833.70",Industrials,2943620,US9427491025,New York Stock Exchange Inc.
BRC,BRADY CORP CLASS A,Equity,0.25,35.9,"2,020,954.00","72,552,248.60","72,552,248.60",Industrials,2117726,US1046741062,New York Stock Exchange Inc.
MSTR,MICROSTRATEGY INC CLASS A,Equity,0.24,182.36,"394,552.00","71,950,502.72","71,950,502.72",Information Technology,2974329,US5949724083,NASDAQ
AF,ASTORIA FINANCIAL CORP,Equity,0.24,18.52,"3,867,140.00","71,619,432.80","71,619,432.80",Financials,2052689,US0462651045,New York Stock Exchange Inc.
UVV,UNIVERSAL CORP,Equity,0.24,66.4,"1,072,648.00","71,223,827.20","71,223,827.20",Consumer Staples,2923804,US9134561094,New York Stock Exchange Inc.
AWR,AMERICAN STATES WATER,Equity,0.24,45.79,"1,548,678.00","70,913,965.62","70,913,965.62",Utilities,2267171,US0298991011,New York Stock Exchange Inc.
AMED,AMEDISYS INC,Equity,0.24,59.92,"1,182,388.00","70,848,688.96","70,848,688.96",Health Care,2024332,US0234361089,NASDAQ
SFLY,SHUTTERFLY INC,Equity,0.24,49.49,"1,422,396.00","70,394,378.04","70,394,378.04",Consumer Discretionary,B188HK1,US82568P3047,NASDAQ
CWT,CALIFORNIA WATER SERVICE GROUP,Equity,0.24,34.65,"2,030,623.00","70,361,086.95","70,361,086.95",Utilities,2165383,US1307881029,New York Stock Exchange Inc.
SCL,STEPAN,Equity,0.24,84.62,"823,013.00","69,643,360.06","69,643,360.06",Materials,2845005,US8585861003,New York Stock Exchange Inc.
AJRD,AEROJET ROCKETDYNE HOLDINGS INC,Equity,0.23,21.9,"3,170,493.00","69,433,796.70","69,433,796.70",Industrials,BWD7PX9,US0078001056,New York Stock Exchange Inc.
INDB,INDEPENDENT BANK CORP,Equity,0.23,60.45,"1,147,571.00","69,370,666.95","69,370,666.95",Financials,2447821,US4538361084,NASDAQ
GDOT,GREEN DOT CORP CLASS A,Equity,0.23,36.74,"1,885,646.00","69,278,634.04","69,278,634.04",Financials,B3WNNP3,US39304D1028,New York Stock Exchange Inc.
MGLN,MAGELLAN HEALTH INC,Equity,0.23,68.75,"1,002,380.00","68,913,625.00","68,913,625.00",Health Care,2307787,US5590792074,NASDAQ
SSD,SIMPSON MANUFACTURING INC,Equity,0.23,40.18,"1,714,664.00","68,895,199.52","68,895,199.52",Industrials,2809250,US8290731053,New York Stock Exchange Inc.
IIVI,II VI INC,Equity,0.23,30,"2,290,725.00","68,721,750.00","68,721,750.00",Information Technology,2452698,US9021041085,NASDAQ
MXL,MAXLINEAR INC,Equity,0.23,31.15,"2,201,235.00","68,568,470.25","68,568,470.25",Information Technology,B3RDWC8,US57776J1007,New York Stock Exchange Inc.
MNRO,MONRO MUFFLER BRAKE INC,Equity,0.23,49.6,"1,382,267.00","68,560,443.20","68,560,443.20",Consumer Discretionary,2600088,US6102361010,NASDAQ
TGI,TRIUMPH GROUP INC,Equity,0.23,32.6,"2,101,708.00","68,515,680.80","68,515,680.80",Industrials,2893071,US8968181011,New York Stock Exchange Inc.
MLI,MUELLER INDUSTRIES INC,Equity,0.23,28.28,"2,416,078.00","68,326,685.84","68,326,685.84",Industrials,2609717,US6247561029,New York Stock Exchange Inc.
CCOI,COGENT COMMUNICATIONS HOLDINGS INC,Equity,0.23,39.4,"1,732,075.00","68,243,755.00","68,243,755.00",Telecommunications,B06RWD1,US19239V3024,NASDAQ
PRAA,PRA GROUP INC,Equity,0.23,34.8,"1,960,275.00","68,217,570.00","68,217,570.00",Financials,BSHZ3P9,US69354N1063,NASDAQ
AAT,AMERICAN ASSETS TRUST REIT INC TRU,Equity,0.23,39.05,"1,738,923.00","67,904,943.15","67,904,943.15",Real Estate,B3NTLD4,US0240131047,New York Stock Exchange Inc.
BHE,BENCHMARK ELECTRONICS INC,Equity,0.23,32.3,"2,099,651.00","67,818,727.30","67,818,727.30",Information Technology,2090816,US08160H1014,New York Stock Exchange Inc.
ABCB,AMERIS BANCORP,Equity,0.23,43.35,"1,554,558.00","67,390,089.30","67,390,089.30",Financials,2038849,US03076K1088,NASDAQ
CORE,CORE MARK HOLDING INC,Equity,0.23,34.05,"1,967,947.00","67,008,595.35","67,008,595.35",Consumer Discretionary,B0637B2,US2186811046,NASDAQ
FLOW,SPX FLOW INC,Equity,0.23,37.33,"1,793,750.00","66,960,687.50","66,960,687.50",Industrials,BYMN2T7,US78469X1072,New York Stock Exchange Inc.
NWBI,NORTHWEST BANCSHARES INC,Equity,0.22,15.39,"4,327,205.00","66,595,684.95","66,595,684.95",Financials,B523Z73,US6673401039,NASDAQ
FWRD,FORWARD AIR CORP,Equity,0.22,52.13,"1,270,268.00","66,219,070.84","66,219,070.84",Industrials,2510790,US3498531017,NASDAQ
CATM,CARDTRONICS PLC CLASS A,Equity,0.22,34.25,"1,928,169.00","66,039,788.25","66,039,788.25",Information Technology,BYT1841,GB00BYT18414,NASDAQ
FFBC,FIRST FINANCIAL BANCORP,Equity,0.22,25.05,"2,633,933.00","65,980,021.65","65,980,021.65",Financials,2352806,US3202091092,NASDAQ
KLIC,KULICKE AND SOFFA INDUSTRIES INC,Equity,0.22,22.15,"2,967,964.00","65,740,402.60","65,740,402.60",Information Technology,2498001,US5012421013,NASDAQ
HMN,HORACE MANN EDUCATORS CORP,Equity,0.22,38.25,"1,711,147.00","65,451,372.75","65,451,372.75",Financials,2437112,US4403271046,New York Stock Exchange Inc.
PRLB,PROTO LABS INC,Equity,0.22,64,"1,022,052.00","65,411,328.00","65,411,328.00",Industrials,B6T6J81,US7437131094,New York Stock Exchange Inc.
