iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"37,155,979,820.85"
Shares Outstanding,"472,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PRA","PROASSURANCE CORP","Equity","0.37","54.70","2,499,810.00","136,739,607.00","136,739,607.00","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","0.36","90.06","1,511,896.00","136,161,353.76","136,161,353.76","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"SKYW","SKYWEST INC","Equity","0.36","55.75","2,421,010.00","134,971,307.50","134,971,307.50","Industrials","2814210","US8308791024","NASDAQ"
"LITE","LUMENTUM HOLDINGS INC","Equity","0.36","46.30","2,900,526.00","134,294,353.80","134,294,353.80","Information Technology","BYM9ZP2","US55024U1097","NASDAQ"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","0.36","73.75","1,819,250.00","134,169,687.50","134,169,687.50","Industrials","2086309","US03820C1053","New York Stock Exchange Inc."
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","0.35","71.13","1,850,414.00","131,619,947.82","131,619,947.82","Information Technology","2049175","US0079731008","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.35","61.26","2,142,488.00","131,248,814.88","131,248,814.88","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"HI","HILLENBRAND INC","Equity","0.35","44.30","2,942,972.00","130,373,659.60","130,373,659.60","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.35","49.70","2,610,777.00","129,755,616.90","129,755,616.90","Industrials","2883890","US88162G1031","NASDAQ"
"TREE","LENDINGTREE INC","Equity","0.35","367.85","352,690.00","129,737,016.50","129,737,016.50","Financials","BV8TD84","US52603B1070","NASDAQ"
"LCII","LCI INDUSTRIES","Equity","0.34","110.25","1,164,371.00","128,371,902.75","128,371,902.75","Consumer Discretionary","BYQ44Y5","US50189K1034","New York Stock Exchange Inc."
"OLLI","OLLIES BARGAIN OUTLET HOLDINGS INC","Equity","0.34","55.55","2,294,578.00","127,463,807.90","127,463,807.90","Consumer Discretionary","BZ22B38","US6811161099","NASDAQ"
"BLD","TOPBUILD CORP","Equity","0.34","76.54","1,658,999.00","126,979,783.46","126,979,783.46","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"PRLB","PROTO LABS INC","Equity","0.34","109.35","1,158,646.00","126,697,940.10","126,697,940.10","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"SLCA","US SILICA HOLDINGS INC","Equity","0.34","33.29","3,791,268.00","126,211,311.72","126,211,311.72","Energy","B7GGNT0","US90346E1038","New York Stock Exchange Inc."
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.34","53.30","2,366,266.00","126,121,977.80","126,121,977.80","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"FUL","HB FULLER","Equity","0.33","51.85","2,358,190.00","122,272,151.50","122,272,151.50","Materials","2354664","US3596941068","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.33","50.62","2,405,062.00","121,744,238.44","121,744,238.44","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"PLCE","CHILDRENS PLACE INC","Equity","0.33","149.80","811,664.00","121,587,267.20","121,587,267.20","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.32","101.89","1,183,207.00","120,556,961.23","120,556,961.23","Information Technology","2572381","US12709P1030","NASDAQ"
"AMN","AMN HEALTHCARE INC","Equity","0.32","53.65","2,234,452.00","119,878,349.80","119,878,349.80","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"UNF","UNIFIRST CORP","Equity","0.32","165.30","724,586.00","119,774,065.80","119,774,065.80","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.32","24.86","4,796,020.00","119,229,057.20","119,229,057.20","Financials","2341439","US3208671046","NASDAQ"
"MYGN","MYRIAD GENETICS INC","Equity","0.32","36.88","3,230,805.00","119,152,088.40","119,152,088.40","Health Care","2614153","US62855J1043","NASDAQ"
