iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"36,278,597,641.36"
Shares Outstanding,"468,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PDCE","PDC ENERGY INC","Equity","0.39","45.95","3,057,860.00","140,508,667.00","140,508,667.00","Energy","B89M5F2","US69327R1014","NASDAQ"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","0.38","74.97","1,842,311.00","138,118,055.67","138,118,055.67","Information Technology","2049175","US0079731008","NASDAQ"
"DAR","DARLING INGREDIENTS INC","Equity","0.38","17.95","7,648,564.00","137,291,723.80","137,291,723.80","Consumer Staples","2250289","US2372661015","New York Stock Exchange Inc."
"ROG","ROGERS CORP","Equity","0.37","161.10","843,646.00","135,911,370.60","135,911,370.60","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"HI","HILLENBRAND INC","Equity","0.37","45.55","2,926,762.00","133,314,009.10","133,314,009.10","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"FUL","HB FULLER","Equity","0.36","56.57","2,346,305.00","132,730,473.85","132,730,473.85","Materials","2354664","US3596941068","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.36","50.00","2,622,920.00","131,146,000.00","131,146,000.00","Industrials","2883890","US88162G1031","NASDAQ"
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.36","117.29","1,115,585.00","130,846,964.65","130,846,964.65","Consumer Discretionary","2515030","US5367971034","New York Stock Exchange Inc."
"GDOT","GREEN DOT CORP CLASS A","Equity","0.36","61.80","2,108,010.00","130,275,018.00","130,275,018.00","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.36","28.97","4,486,980.00","129,987,810.60","129,987,810.60","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.36","55.38","2,342,888.00","129,749,137.44","129,749,137.44","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"SGMS","SCIENTIFIC GAMES CORP CLASS A","Equity","0.35","52.65","2,449,818.00","128,982,917.70","128,982,917.70","Consumer Discretionary","2919290","US80874P1093","NASDAQ"
"BCPC","BALCHEM CORP","Equity","0.35","87.27","1,476,893.00","128,888,452.11","128,888,452.11","Materials","2072074","US0576652004","NASDAQ"
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.35","131.85","971,388.00","128,077,507.80","128,077,507.80","Health Care","2501578","US53220K5048","NASDAQ"
"MOGA","MOOG INC CLASS A","Equity","0.34","84.11","1,492,053.00","125,496,577.83","125,496,577.83","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"SKYW","SKYWEST INC","Equity","0.34","52.05","2,407,850.00","125,328,592.50","125,328,592.50","Industrials","2814210","US8308791024","NASDAQ"
"SLCA","US SILICA HOLDINGS INC","Equity","0.34","33.17","3,770,757.00","125,076,009.69","125,076,009.69","Energy","B7GGNT0","US90346E1038","New York Stock Exchange Inc."
"SJI","S JERSEY INDS INC","Equity","0.34","33.86","3,682,708.00","124,696,492.88","124,696,492.88","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.34","51.87","2,364,846.00","122,664,562.02","122,664,562.02","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"IIVI","II VI INC","Equity","0.34","47.40","2,585,792.00","122,566,540.80","122,566,540.80","Information Technology","2452698","US9021041085","NASDAQ"
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.34","132.56","922,662.00","122,308,074.72","122,308,074.72","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"STMP","STAMPS.COM INC","Equity","0.34","168.40","726,022.00","122,262,104.80","122,262,104.80","Information Technology","B013D75","US8528572006","NASDAQ"
"BYD","BOYD GAMING CORP","Equity","0.33","31.89","3,796,470.00","121,069,428.30","121,069,428.30","Consumer Discretionary","2117232","US1033041013","New York Stock Exchange Inc."
"BGS","B AND G FOODS INC","Equity","0.33","38.70","3,090,370.00","119,597,319.00","119,597,319.00","Consumer Staples","B034L49","US05508R1068","New York Stock Exchange Inc."
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.33","24.97","4,774,056.00","119,208,178.32","119,208,178.32","Financials","2341439","US3208671046","NASDAQ"
"SANM","SANMINA CORP","Equity","0.33","34.00","3,500,999.00","119,033,966.00","119,033,966.00","Information Technology","B92RRW2","US8010561020","NASDAQ"
"WAGE","WAGEWORKS INC","Equity","0.33","64.15","1,845,042.00","118,359,444.30","118,359,444.30","Industrials","B6WG4R2","US9304271094","New York Stock Exchange Inc."
"KFY","KORN FERRY INTERNATIONAL","Equity","0.32","43.84","2,681,917.00","117,575,241.28","117,575,241.28","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"SSD","SIMPSON MANUFACTURING INC","Equity","0.32","59.97","1,954,866.00","117,233,314.02","117,233,314.02","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"CVBF","CVB FINANCIAL CORP","Equity","0.32","24.59","4,745,048.00","116,680,730.32","116,680,730.32","Financials","2160645","US1266001056","NASDAQ"
"MRCY","MERCURY SYSTEMS INC","Equity","0.32","52.19","2,222,292.00","115,981,419.48","115,981,419.48","Industrials","2144047","US5893781089","NASDAQ"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","0.32","63.95","1,810,706.00","115,794,648.70","115,794,648.70","Industrials","2086309","US03820C1053","New York Stock Exchange Inc."
"UNF","UNIFIRST CORP","Equity","0.32","163.50","706,780.00","115,558,530.00","115,558,530.00","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"EE","EL PASO ELECTRIC","Equity","0.31","60.90","1,880,313.00","114,511,061.70","114,511,061.70","Utilities","2851808","US2836778546","New York Stock Exchange Inc."
"ONB","OLD NATIONAL BANCORP","Equity","0.31","18.25","6,204,892.00","113,239,279.00","113,239,279.00","Financials","2658441","US6800331075","NASDAQ"
"BLD","TOPBUILD CORP","Equity","0.31","67.99","1,651,576.00","112,290,652.24","112,290,652.24","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.31","96.32","1,165,588.00","112,269,436.16","112,269,436.16","Information Technology","2572381","US12709P1030","NASDAQ"
"GWB","GREAT WESTERN BANCORP INC","Equity","0.31","41.32","2,715,285.00","112,195,576.20","112,195,576.20","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"AMN","AMN HEALTHCARE INC","Equity","0.31","50.20","2,230,355.00","111,963,821.00","111,963,821.00","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"UFPI","UNIVERSAL FOREST PRODUCTS INC","Equity","0.31","39.16","2,843,271.00","111,342,492.36","111,342,492.36","Industrials","2906496","US9135431040","NASDAQ"
"HOPE","HOPE BANCORP INC","Equity","0.30","18.72","5,920,489.00","110,831,554.08","110,831,554.08","Financials","BYN87K7","US43940T1097","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.30","31.49","3,474,924.00","109,425,356.76","109,425,356.76","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"ABM","ABM INDUSTRIES INC","Equity","0.30","42.80","2,555,942.00","109,394,317.60","109,394,317.60","Industrials","2024901","US0009571003","New York Stock Exchange Inc."
"PRLB","PROTO LABS INC","Equity","0.30","96.20","1,136,075.00","109,290,415.00","109,290,415.00","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"MYGN","MYRIAD GENETICS INC","Equity","0.30","34.63","3,151,076.00","109,121,761.88","109,121,761.88","Health Care","2614153","US62855J1043","NASDAQ"
"PLCE","CHILDRENS PLACE INC","Equity","0.30","132.90","820,032.00","108,982,252.80","108,982,252.80","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"AKR","ACADIA REALTY TRUST REIT TRUST","Equity","0.30","28.03","3,882,003.00","108,812,544.09","108,812,544.09","Real Estate","2566522","US0042391096","New York Stock Exchange Inc."
