Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
SXI,STANDEX INTERNATIONAL CORP,Equity,0.16,96.1,"605,814.00","58,218,725.40","58,218,725.40",Industrials,2840174,US8542311076,New York Stock Exchange Inc.
ABG,ASBURY AUTOMOTIVE GROUP INC.,Equity,0.16,65.85,"880,989.00","58,013,125.65","58,013,125.65",Consumer Discretionary,2855855,US0434361046,New York Stock Exchange Inc.
OCLR,OCLARO INC,Equity,0.16,7.17,"8,073,770.00","57,888,930.90","57,888,930.90",Information Technology,B01W5C1,US67555N2062,NASDAQ
SBCF,SEACOAST BANKING OF FLORIDA,Equity,0.16,26.22,"2,202,405.00","57,747,059.10","57,747,059.10",Financials,BH65L93,US8117078019,NASDAQ
BRKL,BROOKLINE BANCORP INC,Equity,0.16,15.85,"3,642,454.00","57,732,895.90","57,732,895.90",Financials,2967675,US11373M1071,NASDAQ
NSA,NATIONAL STORAGE AFFILIATES TRUST,Equity,0.16,24.53,"2,350,782.00","57,664,682.46","57,664,682.46",Real Estate,BWWCK85,US6378701063,New York Stock Exchange Inc.
NAVG,NAVIGATORS GROUP INC,Equity,0.16,53.9,"1,066,109.00","57,463,275.10","57,463,275.10",Financials,2627850,US6389041020,NASDAQ
CAL,CALERES INC,Equity,0.16,28.01,"2,044,730.00","57,272,887.30","57,272,887.30",Consumer Discretionary,BWX4MD9,US1295001044,New York Stock Exchange Inc.
MATX,MATSON INC,Equity,0.16,28.5,"2,008,666.00","57,246,981.00","57,246,981.00",Industrials,B8GNC91,US57686G1058,New York Stock Exchange Inc.
MSTR,MICROSTRATEGY INC CLASS A,Equity,0.16,127.98,"447,064.00","57,215,250.72","57,215,250.72",Information Technology,2974329,US5949724083,NASDAQ
SWM,SCHWEITZER MAUDUIT INTERNATIONAL I,Equity,0.16,39.21,"1,457,517.00","57,149,241.57","57,149,241.57",Materials,2782038,US8085411069,New York Stock Exchange Inc.
RAVN,RAVEN INDUSTRIES INC,Equity,0.16,33.95,"1,682,946.00","57,136,016.70","57,136,016.70",Industrials,2725851,US7542121089,NASDAQ
PJC,PIPER JAFFRAY,Equity,0.16,83.5,"674,904.00","56,354,484.00","56,354,484.00",Financials,2227089,US7240781002,New York Stock Exchange Inc.
TPRE,THIRD POINT REINSURANCE LTD,Equity,0.16,13.9,"4,043,162.00","56,199,951.80","56,199,951.80",Financials,BCZNFT1,BMG8827U1009,New York Stock Exchange Inc.
DIOD,DIODES INC,Equity,0.15,30.1,"1,833,948.00","55,201,834.80","55,201,834.80",Information Technology,2270500,US2545431015,NASDAQ
SYKE,SYKES ENTERPRISES INC,Equity,0.15,29.06,"1,888,506.00","54,879,984.36","54,879,984.36",Information Technology,2860536,US8712371033,NASDAQ
TLRD,TAILORED BRANDS INC,Equity,0.15,23.41,"2,339,583.00","54,769,638.03","54,769,638.03",Consumer Discretionary,BZ8FLW0,US87403A1079,New York Stock Exchange Inc.
ECOL,US ECOLOGY INC,Equity,0.15,52.9,"1,031,966.00","54,591,001.40","54,591,001.40",Industrials,2772396,US91732J1025,NASDAQ
TNC,TENNANT,Equity,0.15,64.4,"843,519.00","54,322,623.60","54,322,623.60",Industrials,2883641,US8803451033,New York Stock Exchange Inc.
USCR,US CONCRETE INC,Equity,0.15,72.75,"745,246.00","54,216,646.50","54,216,646.50",Materials,B4M8043,US90333L2016,NASDAQ
THRM,GENTHERM INC,Equity,0.15,30.8,"1,750,236.00","53,907,268.80","53,907,268.80",Consumer Discretionary,B8JFD24,US37253A1034,NASDAQ
OSIS,OSI SYSTEMS INC,Equity,0.15,63.14,"853,651.00","53,899,524.14","53,899,524.14",Information Technology,2111579,US6710441055,NASDAQ
FN,FABRINET,Equity,0.15,30.15,"1,778,756.00","53,629,493.40","53,629,493.40",Information Technology,B4JSZL8,KYG3323L1005,New York Stock Exchange Inc.
TBI,TRUEBLUE INC,Equity,0.15,27.2,"1,971,532.00","53,625,670.40","53,625,670.40",Industrials,2519849,US89785X1019,New York Stock Exchange Inc.
INVA,INNOVIVA INC,Equity,0.15,15.51,"3,454,323.00","53,576,549.73","53,576,549.73",Health Care,BDDXF67,US45781M1018,NASDAQ
GCI,GANNETT INC,Equity,0.15,10.04,"5,323,270.00","53,445,630.80","53,445,630.80",Consumer Discretionary,BZ0P429,US36473H1041,New York Stock Exchange Inc.
ASTE,ASTEC INDUSTRIES INC,Equity,0.15,58.9,"905,946.00","53,360,219.40","53,360,219.40",Industrials,2060370,US0462241011,NASDAQ
NMIH,NMI HOLDINGS INC CLASS A,Equity,0.15,19.85,"2,666,478.00","52,929,588.30","52,929,588.30",Financials,BGDW5G5,US6292093050,NASDAQ
ROCK,GIBRALTAR INDUSTRIES INC,Equity,0.15,34.7,"1,515,176.00","52,576,607.20","52,576,607.20",Industrials,2369226,US3746891072,NASDAQ
FBP,FIRST BANCORP,Equity,0.15,6.03,"8,693,313.00","52,420,677.39","52,420,677.39",Financials,2296926,PR3186727065,New York Stock Exchange Inc.
ACOR,ACORDA THERAPEUTICS INC,Equity,0.15,23.75,"2,205,887.00","52,389,816.25","52,389,816.25",Health Care,2925844,US00484M1062,NASDAQ
