iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"36,416,672,258.46"
Shares Outstanding,"472,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.37","28.90","4,664,233.00","134,796,333.70","134,796,333.70","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.36","48.95","2,713,580.00","132,829,741.00","132,829,741.00","Industrials","2883890","US88162G1031","NASDAQ"
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.36","107.11","1,235,282.00","132,311,055.02","132,311,055.02","Information Technology","2572381","US12709P1030","NASDAQ"
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.36","53.56","2,467,886.00","132,179,974.16","132,179,974.16","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"BLD","TOPBUILD CORP","Equity","0.36","76.52","1,726,040.00","132,076,580.80","132,076,580.80","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"AMN","AMN HEALTHCARE INC","Equity","0.36","56.75","2,308,397.00","131,001,529.75","131,001,529.75","Health Care","2813552","US0017441017","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","0.35","82.41","1,574,227.00","129,732,047.07","129,732,047.07","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"SFLY","SHUTTERFLY INC","Equity","0.35","81.25","1,573,219.00","127,824,043.75","127,824,043.75","Consumer Discretionary","B188HK1","US82568P3047","NASDAQ"
"MGLN","MAGELLAN HEALTH INC","Equity","0.35","107.10","1,181,991.00","126,591,236.10","126,591,236.10","Health Care","2307787","US5590792074","NASDAQ"
"LCII","LCI INDUSTRIES","Equity","0.35","104.15","1,214,642.00","126,504,964.30","126,504,964.30","Consumer Discretionary","BYQ44Y5","US50189K1034","New York Stock Exchange Inc."
"BCPC","BALCHEM CORP","Equity","0.34","81.75","1,545,140.00","126,315,195.00","126,315,195.00","Materials","2072074","US0576652004","NASDAQ"
"PRA","PROASSURANCE CORP","Equity","0.34","48.55","2,594,623.00","125,968,946.65","125,968,946.65","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"SMTC","SEMTECH CORP","Equity","0.34","39.05","3,200,386.00","124,975,073.30","124,975,073.30","Information Technology","2795542","US8168501018","NASDAQ"
"NSP","INSPERITY INC","Equity","0.34","69.55","1,794,299.00","124,793,495.45","124,793,495.45","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.34","24.59","5,006,048.00","123,098,720.32","123,098,720.32","Financials","2341439","US3208671046","NASDAQ"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Equity","0.33","63.90","1,914,370.00","122,328,243.00","122,328,243.00","Information Technology","2049175","US0079731008","NASDAQ"
"FUL","HB FULLER","Equity","0.33","49.73","2,455,777.00","122,125,790.21","122,125,790.21","Materials","2354664","US3596941068","New York Stock Exchange Inc."
"UNF","UNIFIRST CORP","Equity","0.33","161.65","750,848.00","121,374,579.20","121,374,579.20","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.33","63.39","1,892,072.00","119,938,444.08","119,938,444.08","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ITRI","ITRON INC","Equity","0.32","71.55","1,653,406.00","118,301,199.30","118,301,199.30","Information Technology","2471949","US4657411066","NASDAQ"
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.32","100.52","1,167,740.00","117,381,224.80","117,381,224.80","Consumer Discretionary","2515030","US5367971034","New York Stock Exchange Inc."
"SSD","SIMPSON MANUFACTURING INC","Equity","0.32","57.59","2,009,622.00","115,734,130.98","115,734,130.98","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"GWB","GREAT WESTERN BANCORP INC","Equity","0.31","40.27","2,859,956.00","115,170,428.12","115,170,428.12","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.31","72.75","1,577,441.00","114,758,832.75","114,758,832.75","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Equity","0.31","45.80","2,497,931.00","114,405,239.80","114,405,239.80","Health Care","B72ZBG4","US8684591089","NASDAQ"
"PLCE","CHILDRENS PLACE INC","Equity","0.31","135.25","845,035.00","114,290,983.75","114,290,983.75","Consumer Discretionary","2106791","US1689051076","NASDAQ"
"HOPE","HOPE BANCORP INC","Equity","0.31","18.19","6,257,728.00","113,828,072.32","113,828,072.32","Financials","BYN87K7","US43940T1097","NASDAQ"
"UCBI","UNITED COMMUNITY BANKS INC","Equity","0.31","31.65","3,576,683.00","113,202,016.95","113,202,016.95","Financials","2862156","US90984P3038","NASDAQ"
"MRCY","MERCURY SYSTEMS INC","Equity","0.31","48.32","2,333,961.00","112,776,995.52","112,776,995.52","Industrials","2144047","US5893781089","NASDAQ"
"CVBF","CVB FINANCIAL CORP","Equity","0.31","22.64","4,980,421.00","112,756,731.44","112,756,731.44","Financials","2160645","US1266001056","NASDAQ"
"SHOO","STEVEN MADDEN LTD","Equity","0.31","43.90","2,564,419.00","112,577,994.10","112,577,994.10","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.30","45.35","2,442,963.00","110,788,372.05","110,788,372.05","Health Care","2580555","US5898891040","NASDAQ"
"SRCI","SRC ENERGY INC","Equity","0.30","9.43","11,723,795.00","110,555,386.85","110,555,386.85","Energy","BD8ZX20","US78470V1089","Nyse Mkt Llc"
"ONB","OLD NATIONAL BANCORP","Equity","0.30","16.90","6,505,941.00","109,950,402.90","109,950,402.90","Financials","2658441","US6800331075","NASDAQ"
