iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"33,765,080,116.06"
Shares Outstanding,"455,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LCII","LCI INDUSTRIES","Equity","0.38","115.85","1,107,481.00","128,301,673.85","128,301,673.85","Consumer Discretionary","BYQ44Y5","US50189K1034","New York Stock Exchange Inc."
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.38","136.15","932,191.00","126,917,804.65","126,917,804.65","Health Care","2501578","US53220K5048","NASDAQ"
"SANM","SANMINA CORP","Equity","0.37","37.15","3,348,569.00","124,399,338.35","124,399,338.35","Information Technology","B92RRW2","US8010561020","NASDAQ"
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.37","55.25","2,245,583.00","124,068,460.75","124,068,460.75","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.37","28.85","4,293,285.00","123,861,272.25","123,861,272.25","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"ICUI","ICU MEDICAL INC","Equity","0.37","185.85","665,670.00","123,714,769.50","123,714,769.50","Health Care","2451918","US44930G1076","NASDAQ"
"SJI","S JERSEY INDS INC","Equity","0.36","34.53","3,530,913.00","121,922,425.89","121,922,425.89","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","0.36","83.43","1,439,583.00","120,104,409.69","120,104,409.69","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"ASGN","ON ASSIGNMENT INC","Equity","0.35","53.68","2,214,579.00","118,878,600.72","118,878,600.72","Industrials","2658720","US6821591087","New York Stock Exchange Inc."
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.35","133.50","887,079.00","118,425,046.50","118,425,046.50","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"TREX","TREX INC","Equity","0.35","90.07","1,306,428.00","117,669,969.96","117,669,969.96","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.35","35.01","3,356,906.00","117,525,279.06","117,525,279.06","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.35","46.55","2,512,407.00","116,952,545.85","116,952,545.85","Industrials","2883890","US88162G1031","NASDAQ"
"ITRI","ITRON INC","Equity","0.35","77.45","1,509,454.00","116,907,212.30","116,907,212.30","Information Technology","2471949","US4657411066","NASDAQ"
"NGVT","INGEVITY CORP","Equity","0.35","62.47","1,870,429.00","116,845,699.63","116,845,699.63","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"BCPC","BALCHEM CORP","Equity","0.34","81.29","1,419,814.00","115,416,680.06","115,416,680.06","Materials","2072074","US0576652004","NASDAQ"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","0.34","65.80","1,734,675.00","114,141,615.00","114,141,615.00","Industrials","2086309","US03820C1053","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.34","50.58","2,252,278.00","113,920,221.24","113,920,221.24","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"SLCA","US SILICA HOLDINGS INC","Equity","0.33","31.07","3,603,956.00","111,974,912.92","111,974,912.92","Energy","B7GGNT0","US90346E1038","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","0.33","51.88","2,147,492.00","111,411,884.96","111,411,884.96","Industrials","2144047","US5893781089","NASDAQ"
"ONB","OLD NATIONAL BANCORP","Equity","0.33","18.30","6,060,609.00","110,909,144.70","110,909,144.70","Financials","2658441","US6800331075","NASDAQ"
"CVBF","CVB FINANCIAL CORP","Equity","0.33","24.17","4,581,407.00","110,732,607.19","110,732,607.19","Financials","2160645","US1266001056","NASDAQ"
"SMTC","SEMTECH CORP","Equity","0.33","37.55","2,930,899.00","110,055,257.45","110,055,257.45","Information Technology","2795542","US8168501018","NASDAQ"
"MYGN","MYRIAD GENETICS INC","Equity","0.33","36.18","3,040,526.00","110,006,230.68","110,006,230.68","Health Care","2614153","US62855J1043","NASDAQ"
"HI","HILLENBRAND INC","Equity","0.33","38.85","2,818,832.00","109,511,623.20","109,511,623.20","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.33","42.11","2,593,725.00","109,221,759.75","109,221,759.75","Financials","2176608","US1972361026","NASDAQ"
"AXE","ANIXTER INTERNATIONAL INC","Equity","0.33","85.00","1,284,789.00","109,207,065.00","109,207,065.00","Information Technology","2468844","US0352901054","New York Stock Exchange Inc."
"ROG","ROGERS CORP","Equity","0.32","133.28","812,795.00","108,329,317.60","108,329,317.60","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"GWB","GREAT WESTERN BANCORP INC","Equity","0.32","41.28","2,607,578.00","107,640,819.84","107,640,819.84","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"FMBI","FIRST MIDWEST BANCORP INC","Equity","0.32","23.42","4,593,402.00","107,577,474.84","107,577,474.84","Financials","2341439","US3208671046","NASDAQ"
"TIVO","TIVO CORP","Equity","0.32","19.85","5,416,957.00","107,526,596.45","107,526,596.45","Information Technology","BD8FFY6","US88870P1066","NASDAQ"
"SGMS","SCIENTIFIC GAMES CORP CLASS A","Equity","0.32","45.85","2,344,025.00","107,473,546.25","107,473,546.25","Consumer Discretionary","2919290","US80874P1093","NASDAQ"
"WAGE","WAGEWORKS INC","Equity","0.32","60.70","1,763,771.00","107,060,899.70","107,060,899.70","Industrials","B6WG4R2","US9304271094","New York Stock Exchange Inc."
"HAE","HAEMONETICS CORP","Equity","0.31","44.87","2,352,717.00","105,566,411.79","105,566,411.79","Health Care","2401195","US4050241003","New York Stock Exchange Inc."
"MDCO","MEDICINES","Equity","0.31","37.04","2,839,909.00","105,190,229.36","105,190,229.36","Health Care","2616773","US5846881051","NASDAQ"
"AKR","ACADIA REALTY TRUST REIT TRUST","Equity","0.31","28.62","3,655,202.00","104,611,881.24","104,611,881.24","Real Estate","2566522","US0042391096","New York Stock Exchange Inc."
"UNF","UNIFIRST CORP","Equity","0.31","151.50","685,120.00","103,795,680.00","103,795,680.00","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"ABM","ABM INDUSTRIES INC","Equity","0.31","41.71","2,483,374.00","103,581,529.54","103,581,529.54","Industrials","2024901","US0009571003","New York Stock Exchange Inc."
"SHOO","STEVEN MADDEN LTD","Equity","0.31","43.30","2,381,174.00","103,104,834.20","103,104,834.20","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"BLD","TOPBUILD CORP","Equity","0.31","65.17","1,579,049.00","102,906,623.33","102,906,623.33","Consumer Discretionary","BZ0P3W2","US89055F1030","New York Stock Exchange Inc."
"IIVI","II VI INC","Equity","0.30","41.15","2,477,881.00","101,964,803.15","101,964,803.15","Information Technology","2452698","US9021041085","NASDAQ"
