iShares North American Tech-Multimedia Networking ETF,,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Jul 31, 2017",,,,,,,,,,,,,,
Total Net Assets,"76,528,710.35",,,,,,,,,,,,,,
Shares Outstanding,"1,650,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
MSI,MOTOROLA SOLUTIONS INC,Equity,9.1,90.68,"76,842.00","6,968,032.56","6,968,032.56",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.,United States,USD,USD,1
HRS,HARRIS CORP,Equity,8.96,114.47,"59,872.00","6,853,547.84","6,853,547.84",Information Technology,2412001,US4138751056,New York Stock Exchange Inc.,United States,USD,USD,1
CSCO,CISCO SYSTEMS INC,Equity,8.66,31.45,"210,641.00","6,624,659.45","6,624,659.45",Information Technology,2198163,US17275R1023,NASDAQ,United States,USD,USD,1
JNPR,JUNIPER NETWORKS INC,Equity,8.25,27.95,"225,784.00","6,310,662.80","6,310,662.80",Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.,United States,USD,USD,1
PANW,PALO ALTO NETWORKS INC,Equity,8.24,131.78,"47,826.00","6,302,510.28","6,302,510.28",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1
BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,Equity,4.61,12.63,"279,320.00","3,527,811.60","3,527,811.60",Information Technology,2422174,US1116213067,NASDAQ,United States,USD,USD,1
COMM,COMMSCOPE HOLDING INC,Equity,4.46,36.78,"92,788.00","3,412,742.64","3,412,742.64",Information Technology,BFRBX34,US20337X1090,NASDAQ,United States,USD,USD,1
ARRS,ARRIS INTERNATIONAL PLC,Equity,4.42,27.96,"121,093.00","3,385,760.28","3,385,760.28",Information Technology,BZ04Y37,GB00BZ04Y379,NASDAQ,United States,USD,USD,1
ANET,ARISTA NETWORKS INC,Equity,4.37,149.29,"22,414.00","3,346,186.06","3,346,186.06",Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.,United States,USD,USD,1
FFIV,F5 NETWORKS INC,Equity,4.25,120.75,"26,944.00","3,253,488.00","3,253,488.00",Information Technology,2427599,US3156161024,NASDAQ,United States,USD,USD,1
CIEN,CIENA CORP,Equity,3.79,25.75,"112,600.00","2,899,450.00","2,899,450.00",Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.,United States,USD,USD,1
VSAT,VIASAT INC,Equity,3.63,66.09,"42,081.00","2,781,133.29","2,781,133.29",Information Technology,2946243,US92552V1008,NASDAQ,United States,USD,USD,1
LITE,LUMENTUM HOLDINGS INC,Equity,3.62,62.6,"44,198.00","2,766,794.80","2,766,794.80",Information Technology,BYM9ZP2,US55024U1097,NASDAQ,United States,USD,USD,1
NTCT,NETSCOUT SYSTEMS INC,Equity,3.28,34.5,"72,850.00","2,513,325.00","2,513,325.00",Information Technology,2447285,US64115T1043,NASDAQ,United States,USD,USD,1
FNSR,FINISAR CORP,Equity,3.15,27.22,"88,471.00","2,408,180.62","2,408,180.62",Information Technology,2517832,US31787A5074,NASDAQ,United States,USD,USD,1
SATS,ECHOSTAR CORP CLASS A,Equity,3.01,60.73,"37,969.00","2,305,857.37","2,305,857.37",Information Technology,B2NC471,US2787681061,NASDAQ,United States,USD,USD,1
IDCC,INTERDIGITAL INC,Equity,2.62,72.85,"27,546.00","2,006,726.10","2,006,726.10",Information Technology,2465737,US45867G1013,NASDAQ,United States,USD,USD,1
VIAV,VIAVI SOLUTIONS INC,Equity,2.58,10.97,"180,278.00","1,977,649.66","1,977,649.66",Information Technology,BYXB201,US9255501051,NASDAQ,United States,USD,USD,1
INFN,INFINERA CORP,Equity,1.78,11.73,"116,393.00","1,365,289.89","1,365,289.89",Information Technology,B1YB5Y4,US45667G1031,NASDAQ,United States,USD,USD,1
NTGR,NETGEAR INC,Equity,1.61,47.9,"25,777.00","1,234,718.30","1,234,718.30",Information Technology,2688363,US64111Q1040,NASDAQ,United States,USD,USD,1
PLT,PLANTRONICS INC,Equity,1.57,45.18,"26,558.00","1,199,890.44","1,199,890.44",Information Technology,2692030,US7274931085,New York Stock Exchange Inc.,United States,USD,USD,1
UBNT,UBIQUITI NETWORKS INC,Equity,1.41,54.5,"19,764.00","1,077,138.00","1,077,138.00",Information Technology,B76VD62,US90347A1007,NASDAQ,United States,USD,USD,1
OCLR,OCLARO INC,Equity,1.29,9.78,"100,979.00","987,574.62","987,574.62",Information Technology,B01W5C1,US67555N2062,NASDAQ,United States,USD,USD,1
ADTN,ADTRAN INC,Equity,1.18,23.45,"38,382.00","900,057.90","900,057.90",Information Technology,2052924,US00738A1060,NASDAQ,United States,USD,USD,1
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.18,1,"139,627.00","139,627.42","139,627.42",Cash and/or Derivatives,-,US0669224778,-,United States,USD,USD,1
USD,USD CASH,Cash,-0.02,100,"-16,814.00","-16,813.98","-16,813.98",Cash and/or Derivatives,-,-,-,United States,USD,USD,1
 ,,,,,,,,,,,,,,,
