iShares North American Tech-Multimedia Networking ETF,,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Sep 29, 2017",,,,,,,,,,,,,,
Total Net Assets,"64,591,343.77",,,,,,,,,,,,,,
Shares Outstanding,"1,400,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
HRS,HARRIS CORP,Equity,8.9,131.68,"43,677.00","5,751,387.36","5,751,387.36",Information Technology,2412001,US4138751056,New York Stock Exchange Inc.,United States,USD,USD,1
CSCO,CISCO SYSTEMS INC,Equity,8.77,33.63,"168,394.00","5,663,090.22","5,663,090.22",Information Technology,2198163,US17275R1023,NASDAQ,United States,USD,USD,1
JNPR,JUNIPER NETWORKS INC,Equity,8.53,27.83,"197,933.00","5,508,475.39","5,508,475.39",Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.,United States,USD,USD,1
PANW,PALO ALTO NETWORKS INC,Equity,8.3,144.1,"37,225.00","5,364,122.50","5,364,122.50",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1
MSI,MOTOROLA SOLUTIONS INC,Equity,8.14,84.87,"61,936.00","5,256,508.32","5,256,508.32",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.,United States,USD,USD,1
ANET,ARISTA NETWORKS INC,Equity,4.79,189.61,"16,305.00","3,091,591.05","3,091,591.05",Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.,United States,USD,USD,1
ARRS,ARRIS INTERNATIONAL PLC,Equity,4.71,28.49,"106,724.00","3,040,566.76","3,040,566.76",Information Technology,BZ04Y37,GB00BZ04Y379,NASDAQ,United States,USD,USD,1
FFIV,F5 NETWORKS INC,Equity,4.57,120.56,"24,480.00","2,951,308.80","2,951,308.80",Information Technology,2427599,US3156161024,NASDAQ,United States,USD,USD,1
COMM,COMMSCOPE HOLDING INC,Equity,4.41,33.21,"85,773.00","2,848,521.33","2,848,521.33",Information Technology,BFRBX34,US20337X1090,NASDAQ,United States,USD,USD,1
BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,Equity,4.24,11.95,"229,076.00","2,737,458.20","2,737,458.20",Information Technology,2422174,US1116213067,NASDAQ,United States,USD,USD,1
VSAT,VIASAT INC,Equity,3.87,64.32,"38,821.00","2,496,966.72","2,496,966.72",Information Technology,2946243,US92552V1008,NASDAQ,United States,USD,USD,1
LITE,LUMENTUM HOLDINGS INC,Equity,3.72,54.35,"44,236.00","2,404,226.60","2,404,226.60",Information Technology,BYM9ZP2,US55024U1097,NASDAQ,United States,USD,USD,1
CIEN,CIENA CORP,Equity,3.47,21.97,"102,011.00","2,241,181.67","2,241,181.67",Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.,United States,USD,USD,1
NTCT,NETSCOUT SYSTEMS INC,Equity,3.23,32.35,"64,428.00","2,084,245.80","2,084,245.80",Information Technology,2447285,US64115T1043,NASDAQ,United States,USD,USD,1
SATS,ECHOSTAR CORP CLASS A,Equity,3.06,57.23,"34,512.00","1,975,121.76","1,975,121.76",Information Technology,B2NC471,US2787681061,NASDAQ,United States,USD,USD,1
IDCC,INTERDIGITAL INC,Equity,2.85,73.75,"24,977.00","1,842,053.75","1,842,053.75",Information Technology,2465737,US45867G1013,NASDAQ,United States,USD,USD,1
FNSR,FINISAR CORP,Equity,2.81,22.17,"81,923.00","1,816,232.91","1,816,232.91",Information Technology,2517832,US31787A5074,NASDAQ,United States,USD,USD,1
VIAV,VIAVI SOLUTIONS INC,Equity,2.4,9.46,"163,736.00","1,548,942.56","1,548,942.56",Information Technology,BYXB201,US9255501051,NASDAQ,United States,USD,USD,1
NTGR,NETGEAR INC,Equity,1.68,47.6,"22,742.00","1,082,519.20","1,082,519.20",Information Technology,2688363,US64111Q1040,NASDAQ,United States,USD,USD,1
PLT,PLANTRONICS INC,Equity,1.66,44.22,"24,182.00","1,069,328.04","1,069,328.04",Information Technology,2692030,US7274931085,New York Stock Exchange Inc.,United States,USD,USD,1
OCLR,OCLARO INC,Equity,1.62,8.63,"121,363.00","1,047,362.69","1,047,362.69",Information Technology,B01W5C1,US67555N2062,NASDAQ,United States,USD,USD,1
INFN,INFINERA CORP,Equity,1.46,8.87,"106,633.00","945,834.71","945,834.71",Information Technology,B1YB5Y4,US45667G1031,NASDAQ,United States,USD,USD,1
UBNT,UBIQUITI NETWORKS INC,Equity,1.45,56.02,"16,750.00","938,335.00","938,335.00",Information Technology,B76VD62,US90347A1007,NASDAQ,United States,USD,USD,1
ADTN,ADTRAN INC,Equity,1.28,24,"34,415.00","825,960.00","825,960.00",Information Technology,2052924,US00738A1060,NASDAQ,United States,USD,USD,1
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.06,1,"35,859.00","35,859.33","35,859.33",Cash and/or Derivatives,-,US0669224778,-,United States,USD,USD,1
USD,USD CASH,Cash,0.04,100,"24,830.00","24,830.45","24,830.45",Cash and/or Derivatives,-,-,-,United States,USD,USD,1
 ,,,,,,,,,,,,,,,
