iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"34,235,870,069.89"
Shares Outstanding,"457,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MOGA","MOOG INC CLASS A","Equity","0.37","87.76","1,454,529.00","127,649,465.04","127,649,465.04","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.37","55.29","2,268,895.00","125,447,204.55","125,447,204.55","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.36","49.25","2,538,445.00","125,018,416.25","125,018,416.25","Industrials","2883890","US88162G1031","NASDAQ"
"ROG","ROGERS CORP","Equity","0.36","152.08","821,255.00","124,896,460.40","124,896,460.40","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.36","113.18","1,084,127.00","122,701,493.86","122,701,493.86","Consumer Discretionary","2515030","US5367971034","New York Stock Exchange Inc."
"SMTC","SEMTECH CORP","Equity","0.35","41.05","2,961,261.00","121,559,764.05","121,559,764.05","Information Technology","2795542","US8168501018","NASDAQ"
"SJI","S JERSEY INDS INC","Equity","0.35","33.97","3,567,573.00","121,190,454.81","121,190,454.81","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"BCPC","BALCHEM CORP","Equity","0.35","84.29","1,434,572.00","120,920,073.88","120,920,073.88","Materials","2072074","US0576652004","NASDAQ"
"ITRI","ITRON INC","Equity","0.35","78.15","1,525,152.00","119,190,628.80","119,190,628.80","Information Technology","2471949","US4657411066","NASDAQ"
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.35","132.33","896,291.00","118,606,188.03","118,606,188.03","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.35","27.30","4,337,841.00","118,423,059.30","118,423,059.30","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"GDOT","GREEN DOT CORP CLASS A","Equity","0.34","56.62","2,038,431.00","115,415,963.22","115,415,963.22","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.33","50.22","2,275,590.00","114,280,129.80","114,280,129.80","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.33","43.51","2,620,609.00","114,022,697.59","114,022,697.59","Financials","2176608","US1972361026","NASDAQ"
"WAGE","WAGEWORKS INC","Equity","0.33","63.75","1,782,101.00","113,608,938.75","113,608,938.75","Industrials","B6WG4R2","US9304271094","New York Stock Exchange Inc."
"IIVI","II VI INC","Equity","0.33","45.20","2,503,543.00","113,160,143.60","113,160,143.60","Information Technology","2452698","US9021041085","NASDAQ"
"HAE","HAEMONETICS CORP","Equity","0.33","47.56","2,377,157.00","113,057,586.92","113,057,586.92","Health Care","2401195","US4050241003","New York Stock Exchange Inc."
"SGMS","SCIENTIFIC GAMES CORP CLASS A","Equity","0.33","47.60","2,368,371.00","112,734,459.60","112,734,459.60","Consumer Discretionary","2919290","US80874P1093","NASDAQ"
"HI","HILLENBRAND INC","Equity","0.33","39.55","2,848,066.00","112,641,010.30","112,641,010.30","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Equity","0.33","63.65","1,752,629.00","111,554,835.85","111,554,835.85","Industrials","2086309","US03820C1053","New York Stock Exchange Inc."
"ONB","OLD NATIONAL BANCORP","Equity","0.33","18.20","6,123,495.00","111,447,609.00","111,447,609.00","Financials","2658441","US6800331075","NASDAQ"
"SLCA","US SILICA HOLDINGS INC","Equity","0.32","30.51","3,641,368.00","111,098,137.68","111,098,137.68","Energy","B7GGNT0","US90346E1038","New York Stock Exchange Inc."
"SANM","SANMINA CORP","Equity","0.32","32.73","3,383,255.00","110,717,019.88","110,717,019.88","Information Technology","B92RRW2","US8010561020","NASDAQ"
"CVBF","CVB FINANCIAL CORP","Equity","0.32","23.86","4,628,877.00","110,445,005.22","110,445,005.22","Financials","2160645","US1266001056","NASDAQ"
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.32","96.67","1,136,324.00","109,848,441.08","109,848,441.08","Information Technology","2572381","US12709P1030","NASDAQ"
"SKYW","SKYWEST INC","Equity","0.32","47.10","2,330,447.00","109,764,053.70","109,764,053.70","Industrials","2814210","US8308791024","NASDAQ"
"UNF","UNIFIRST CORP","Equity","0.32","157.50","692,264.00","109,031,580.00","109,031,580.00","Industrials","2466428","US9047081040","New York Stock Exchange Inc."
"BYD","BOYD GAMING CORP","Equity","0.32","29.23","3,720,754.00","108,757,639.42","108,757,639.42","Consumer Discretionary","2117232","US1033041013","New York Stock Exchange Inc."
"KFY","KORN FERRY INTERNATIONAL","Equity","0.32","41.83","2,595,266.00","108,559,976.78","108,559,976.78","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","0.32","50.47","2,145,958.00","108,306,500.26","108,306,500.26","Industrials","2144047","US5893781089","NASDAQ"
