Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
GIFI,GULF ISLAND FABRICATION INC,Equity,0.01,6.13,"885,610.00","5,428,789.30","5,428,789.30",Energy,2412636,US4023071024,NASDAQ
SUP,SUPERIOR INDS INC,Equity,0.01,3.17,"1,450,683.00","4,598,665.11","4,598,665.11",Consumer Discretionary,2864141,US8681681057,New York Stock Exchange Inc.
ASNA,ASCENA RETAIL GROUP INC,Equity,0.01,0.37,"10,954,759.00","4,018,205.60","4,018,205.60",Consumer Discretionary,B65D9Z3,US04351G1013,NASDAQ
KOPN,KOPIN CORP,Equity,0.01,0.79,"4,717,856.00","3,729,936.95","3,729,936.95",Information Technology,2492412,US5006001011,NASDAQ
NLS,NAUTILUS INC,Equity,0.01,1.66,"2,116,334.00","3,513,114.44","3,513,114.44",Consumer Discretionary,2415936,US63910B1026,New York Stock Exchange Inc.
SPN,SUPERIOR ENERGY SERVICES INC,Equity,0.01,0.35,"9,757,655.00","3,375,172.86","3,375,172.86",Energy,2806109,US8681571084,New York Stock Exchange Inc.
LKSD,LSC COMMUNICATIONS INC,Equity,0.01,1.34,"2,079,667.00","2,786,753.78","2,786,753.78",Industrials,BYND5V9,US50218P1075,New York Stock Exchange Inc.
KIRK,KIRKLANDS INC,Equity,0,1.38,"981,211.00","1,354,071.18","1,354,071.18",Consumer Discretionary,2960920,US4974981056,NASDAQ
-,A SCHULMAN INC,Equity,0,0.43,"1,640,554.00","710,359.88","710,359.88",Materials,9927791,US808CVR1040,NASDAQ
 ,,,,,,,,,,,
