Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
IRDM,IRIDIUM COMMUNICATIONS INC,Equity,0.33,25.04,"5,780,724.00","144,749,328.96","144,749,328.96",Communication,B2QH310,US46269C1027,NASDAQ
FUL,HB FULLER,Equity,0.33,47.28,"3,059,644.00","144,659,968.32","144,659,968.32",Materials,2354664,US3596941068,New York Stock Exchange Inc.
ABM,ABM INDUSTRIES INC,Equity,0.32,36.04,"3,991,189.00","143,842,451.56","143,842,451.56",Industrials,2024901,US0009571003,New York Stock Exchange Inc.
B,BARNES GROUP INC,Equity,0.32,50.54,"2,845,974.00","143,835,525.96","143,835,525.96",Industrials,2080732,US0678061096,New York Stock Exchange Inc.
AKR,ACADIA REALTY TRUST REIT,Equity,0.32,28.89,"4,977,101.00","143,788,447.89","143,788,447.89",Real Estate,2566522,US0042391096,New York Stock Exchange Inc.
VG,VONAGE HOLDINGS CORP,Equity,0.32,12.63,"11,369,227.00","143,593,337.01","143,593,337.01",Communication,B15JLG1,US92886T2015,New York Stock Exchange Inc.
FFBC,FIRST FINANCIAL BANCORP,Equity,0.32,24.4,"5,877,621.00","143,413,952.40","143,413,952.40",Financials,2352806,US3202091092,NASDAQ
SFNC,SIMMONS FIRST NATIONAL CORP CLASS,Equity,0.32,24.73,"5,784,010.00","143,038,567.30","143,038,567.30",Financials,2810133,US8287302009,NASDAQ
GTLS,CHART INDUSTRIES INC,Equity,0.32,66.2,"2,142,683.00","141,845,614.60","141,845,614.60",Industrials,B19HNF4,US16115Q3083,NASDAQ
DORM,DORMAN PRODUCTS INC,Equity,0.32,81.53,"1,738,564.00","141,745,122.92","141,745,122.92",Consumer Discretionary,2718594,US2582781009,NASDAQ
IIVI,II VI INC,Equity,0.32,39.51,"3,577,066.00","141,329,877.66","141,329,877.66",Information Technology,2452698,US9021041085,NASDAQ
MTH,MERITAGE CORP,Equity,0.32,64.92,"2,159,369.00","140,186,235.48","140,186,235.48",Consumer Discretionary,2601326,US59001A1025,New York Stock Exchange Inc.
EXLS,EXLSERVICE HOLDINGS INC,Equity,0.31,67.39,"2,067,623.00","139,337,113.97","139,337,113.97",Information Technology,B07LST0,US3020811044,NASDAQ
LCII,LCI INDUSTRIES,Equity,0.31,90.52,"1,504,137.00","136,154,481.24","136,154,481.24",Consumer Discretionary,BYQ44Y5,US50189K1034,New York Stock Exchange Inc.
ITGR,INTEGER HOLDINGS CORP,Equity,0.31,75.45,"1,802,355.00","135,987,684.75","135,987,684.75",Health Care,BD06LM7,US45826H1095,New York Stock Exchange Inc.
AAT,AMERICAN ASSETS TRUST REIT INC,Equity,0.3,47.43,"2,830,631.00","134,256,828.33","134,256,828.33",Real Estate,B3NTLD4,US0240131047,New York Stock Exchange Inc.
IOSP,INNOSPEC INC,Equity,0.3,90.91,"1,472,900.00","133,901,339.00","133,901,339.00",Materials,2245597,US45768S1050,NASDAQ
FMBI,FIRST MIDWEST BANCORP INC,Equity,0.3,19.81,"6,720,064.00","133,124,467.84","133,124,467.84",Financials,2341439,US3208671046,NASDAQ
NEO,NEOGENOMICS INC,Equity,0.3,21.67,"6,140,717.00","133,069,337.39","133,069,337.39",Health Care,2598246,US64049M2098,NASDAQ
WRE,WASHINGTON REAL ESTATE INVESTMENT,Equity,0.3,27.45,"4,811,806.00","132,084,074.70","132,084,074.70",Real Estate,2942304,US9396531017,New York Stock Exchange Inc.
CTRE,CARETRUST REIT INC,Equity,0.3,22.93,"5,725,810.00","131,292,823.30","131,292,823.30",Real Estate,BMP8TL6,US14174T1079,NASDAQ
CVBF,CVB FINANCIAL CORP,Equity,0.29,21.34,"6,147,367.00","131,184,811.78","131,184,811.78",Financials,2160645,US1266001056,NASDAQ
EGHT,8X8 INC,Equity,0.29,22.58,"5,791,549.00","130,773,176.42","130,773,176.42",Information Technology,2037170,US2829141009,New York Stock Exchange Inc.
SANM,SANMINA CORP,Equity,0.29,31.64,"4,125,533.00","130,531,864.12","130,531,864.12",Information Technology,B92RRW2,US8010561020,NASDAQ
IVR,INVESCO MORTGAGE CAPITAL REIT INC,Equity,0.29,15.25,"8,547,444.00","130,348,521.00","130,348,521.00",Financials,B5ZW0F0,US46131B1008,New York Stock Exchange Inc.
