iShares North American Tech-Multimedia Networking ETF,,,,,,,,,,,,,,,
Inception Date,"Jul 10, 2001",,,,,,,,,,,,,,
Fund Holdings as of,"Jun 30, 2017",,,,,,,,,,,,,,
Total Net Assets,"75,543,298.02",,,,,,,,,,,,,,
Shares Outstanding,"1,650,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
MSI,MOTOROLA SOLUTIONS INC,Equity,8.82,86.74,"76,842.00","6,665,275.08","6,665,275.08",Information Technology,B5BKPQ4,US6200763075,New York Stock Exchange Inc.,United States,USD,USD,1
CSCO,CISCO SYSTEMS INC,Equity,8.73,31.3,"210,641.00","6,593,063.30","6,593,063.30",Information Technology,2198163,US17275R1023,NASDAQ,United States,USD,USD,1
HRS,HARRIS CORP,Equity,8.65,109.08,"59,872.00","6,530,837.76","6,530,837.76",Information Technology,2412001,US4138751056,New York Stock Exchange Inc.,United States,USD,USD,1
PANW,PALO ALTO NETWORKS INC,Equity,8.47,133.81,"47,826.00","6,399,597.06","6,399,597.06",Information Technology,B87ZMX0,US6974351057,New York Stock Exchange Inc.,United States,USD,USD,1
JNPR,JUNIPER NETWORKS INC,Equity,8.33,27.88,"225,784.00","6,294,857.92","6,294,857.92",Information Technology,2431846,US48203R1041,New York Stock Exchange Inc.,United States,USD,USD,1
COMM,COMMSCOPE HOLDING INC,Equity,4.67,38.03,"92,788.00","3,528,727.64","3,528,727.64",Information Technology,BFRBX34,US20337X1090,NASDAQ,United States,USD,USD,1
BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,Equity,4.66,12.61,"279,320.00","3,522,225.20","3,522,225.20",Information Technology,2422174,US1116213067,NASDAQ,United States,USD,USD,1
FFIV,F5 NETWORKS INC,Equity,4.53,127.06,"26,944.00","3,423,504.64","3,423,504.64",Information Technology,2427599,US3156161024,NASDAQ,United States,USD,USD,1
ARRS,ARRIS INTERNATIONAL PLC,Equity,4.49,28.02,"121,093.00","3,393,025.86","3,393,025.86",Information Technology,BZ04Y37,GB00BZ04Y379,NASDAQ,United States,USD,USD,1
ANET,ARISTA NETWORKS INC,Equity,4.44,149.79,"22,414.00","3,357,393.06","3,357,393.06",Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.,United States,USD,USD,1
CIEN,CIENA CORP,Equity,3.73,25.02,"112,600.00","2,817,252.00","2,817,252.00",Information Technology,B1FLZ21,US1717793095,New York Stock Exchange Inc.,United States,USD,USD,1
VSAT,VIASAT INC,Equity,3.69,66.2,"42,081.00","2,785,762.20","2,785,762.20",Information Technology,2946243,US92552V1008,NASDAQ,United States,USD,USD,1
LITE,LUMENTUM HOLDINGS INC,Equity,3.34,57.05,"44,198.00","2,521,495.90","2,521,495.90",Information Technology,BYM9ZP2,US55024U1097,NASDAQ,United States,USD,USD,1
NTCT,NETSCOUT SYSTEMS INC,Equity,3.32,34.4,"72,850.00","2,506,040.00","2,506,040.00",Information Technology,2447285,US64115T1043,NASDAQ,United States,USD,USD,1
SATS,ECHOSTAR CORP CLASS A,Equity,3.05,60.7,"37,969.00","2,304,718.30","2,304,718.30",Information Technology,B2NC471,US2787681061,NASDAQ,United States,USD,USD,1
FNSR,FINISAR CORP,Equity,3.04,25.98,"88,471.00","2,298,476.58","2,298,476.58",Information Technology,2517832,US31787A5074,NASDAQ,United States,USD,USD,1
IDCC,INTERDIGITAL INC,Equity,2.82,77.3,"27,546.00","2,129,305.80","2,129,305.80",Information Technology,2465737,US45867G1013,NASDAQ,United States,USD,USD,1
VIAV,VIAVI SOLUTIONS INC,Equity,2.51,10.53,"180,278.00","1,898,327.34","1,898,327.34",Information Technology,BYXB201,US9255501051,NASDAQ,United States,USD,USD,1
PLT,PLANTRONICS INC,Equity,1.84,52.31,"26,558.00","1,389,248.98","1,389,248.98",Information Technology,2692030,US7274931085,New York Stock Exchange Inc.,United States,USD,USD,1
INFN,INFINERA CORP,Equity,1.64,10.67,"116,393.00","1,241,913.31","1,241,913.31",Information Technology,B1YB5Y4,US45667G1031,NASDAQ,United States,USD,USD,1
NTGR,NETGEAR INC,Equity,1.47,43.1,"25,777.00","1,110,988.70","1,110,988.70",Information Technology,2688363,US64111Q1040,NASDAQ,United States,USD,USD,1
UBNT,UBIQUITI NETWORKS INC,Equity,1.36,51.97,"19,764.00","1,027,135.08","1,027,135.08",Information Technology,B76VD62,US90347A1007,NASDAQ,United States,USD,USD,1
OCLR,OCLARO INC,Equity,1.25,9.34,"100,979.00","943,143.86","943,143.86",Information Technology,B01W5C1,US67555N2062,NASDAQ,United States,USD,USD,1
ADTN,ADTRAN INC,Equity,1.05,20.65,"38,382.00","792,588.30","792,588.30",Information Technology,2052924,US00738A1060,NASDAQ,United States,USD,USD,1
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.05,1,"37,655.00","37,654.82","37,654.82",Cash and/or Derivatives,-,US0669224778,-,United States,USD,USD,1
USD,USD CASH,Cash,0.04,100,"32,086.00","32,085.90","32,085.90",Cash and/or Derivatives,-,-,-,United States,USD,USD,1
 ,,,,,,,,,,,,,,,
